,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,error_message,search_index
2088,21587,tt2870708,movie,Wish I Was Here,Wish I Was Here,0,2014,\N,106,"Comedy,Drama",wish i was here,2014-07-18,Wish I Was Here,6000000.0,3591299.0,6591365.0,Focus Features,R,Comedy,1,6.6,38868.0,The request failed: Google returned a response with code 429,
2089,27386,tt5322012,movie,Wish Upon,Wish Upon,0,2017,\N,90,"Drama,Fantasy,Horror",wish upon,2017-07-14,Wish Upon,12000000.0,14301505.0,23477345.0,Broad Green Pictures,PG-13,Horror,1,5.1,22320.0,,6.480769230769231
2090,2223,tt0364751,movie,Without a Paddle,Without a Paddle,0,2004,\N,95,"Adventure,Comedy,Mystery",without a paddle,2004-08-20,Without a Paddle,30000000.0,58156435.0,65121280.0,Paramount Pictures,PG-13,Comedy,1,5.8,50278.0,,7.787878787878788
2091,6024,tt1001562,movie,Witless Protection,Witless Protection,0,2008,\N,99,"Comedy,Crime",witless protection,2008-02-22,Witless Protection,7500000.0,4151836.0,4151836.0,Lionsgate,PG-13,Comedy,1,3.4,6490.0,,4.038461538461538
2092,2678,tt0416315,movie,Wolf Creek,Wolf Creek,0,2005,\N,99,"Horror,Thriller",wolf creek,2005-12-25,Wolf Creek,1100000.0,16186348.0,29005064.0,Weinstein Co.,R,Horror,1,6.2,77038.0,,9.981132075471699
2093,2558,tt0399901,movie,Woman Thou Art Loosed,Woman Thou Art Loosed,0,2004,\N,94,Drama,woman thou art loosed,2004-10-01,Woman Thou Art Loosed,3000000.0,6879730.0,6879730.0,Magnolia Pictures,R,Drama,1,6.6,1019.0,,6.282051282051282
2094,19431,tt2404425,movie,Woman in Gold,Woman in Gold,0,2015,\N,109,"Biography,Drama,History",woman in gold,2015-04-01,Woman in Gold,11000000.0,33307793.0,57019592.0,Weinstein Co.,PG-13,Drama,1,7.3,62028.0,The request failed: Google returned a response with code 429,
2095,15870,tt1870529,movie,Won't Back Down,Won't Back Down,0,2012,\N,121,Drama,wont back down,2012-09-28,Won't Back Down,19000000.0,5310554.0,5745503.0,20th Century Fox,PG,Drama,1,6.4,6817.0,,36.88461538461539
2096,19824,tt2543472,movie,Wonder,Wonder,0,2017,\N,113,"Drama,Family",wonder,2017-11-17,Wonder,20000000.0,132422809.0,305051118.0,Lionsgate,PG,Drama,1,7.9,174320.0,,24.5
2097,29655,tt6428676,movie,Wonder Park,Wonder Park,0,2019,\N,85,"Adventure,Animation,Comedy",wonder park,2019-03-15,Wonder Park,100000000.0,0.0,0.0,Paramount Pictures,PG,Adventure,1,5.8,12520.0,,6.153846153846154
2098,2938,tt0451279,movie,Wonder Woman,Wonder Woman,0,2017,\N,141,"Action,Adventure,Fantasy",wonder woman,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,Warner Bros.,PG-13,Action,1,7.4,687682.0,,8.596153846153847
2099,2038,tt0335563,movie,Wonderland,Wonderland,0,2003,\N,104,"Crime,Drama,Mystery",wonderland,2003-10-03,Wonderland,5500000.0,1060512.0,1060512.0,Lionsgate,R,Drama,1,6.5,23045.0,The request failed: Google returned a response with code 500,
2100,25086,tt4183692,movie,Woodlawn,Woodlawn,0,2015,\N,123,"Biography,Drama,History",woodlawn,2015-10-16,Woodlawn,13000000.0,14394097.0,14403703.0,Pure Flix Entertain…,PG,Drama,1,6.4,7705.0,,21.923076923076923
2101,3084,tt0469641,movie,World Trade Center,World Trade Center,0,2006,\N,129,"Drama,History,Thriller",world trade center,2006-08-09,World Trade Center,65000000.0,70278893.0,163295654.0,Paramount Pictures,PG-13,Drama,1,6.0,86925.0,,24.53846153846154
2102,14396,tt1646987,movie,Wrath of the Titans,Wrath of the Titans,0,2012,\N,99,"Action,Adventure,Fantasy",wrath of the titans,2012-03-30,Wrath of the Titans,150000000.0,83670083.0,305270083.0,Warner Bros.,PG-13,Adventure,1,5.7,193815.0,,5.25
