,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,error_message,search_index
1266,2124,tt0350258,movie,Ray,Ray,0,2004,\N,152,"Biography,Drama,Music",ray,2004-10-29,Ray,40000000.0,75305995.0,124823094.0,Universal,PG-13,Drama,1,7.7,154923.0,,24.674418604651162
1267,5831,tt0959306,movie,Reach Me,Reach Me,0,2014,\N,95,"Comedy,Crime,Drama",reach me,2014-11-21,Reach Me,5000000.0,0.0,0.0,Alchemy,R,Drama,1,4.9,3189.0,,39.51923076923077
1268,14627,tt1677720,movie,Ready Player One,Ready Player One,0,2018,\N,140,"Action,Adventure,Sci-Fi",ready player one,2018-03-29,Ready Player One,150000000.0,137018455.0,578621729.0,Warner Bros.,PG-13,Adventure,1,7.4,468344.0,,5.25
1269,2812,tt0433035,movie,Real Steel,Real Steel,0,2011,\N,127,"Action,Drama,Sci-Fi",real steel,2011-10-07,Real Steel,110000000.0,85463309.0,263880341.0,Walt Disney,PG-13,Action,1,7.1,348343.0,,5.846153846153846
1270,1751,tt0296166,movie,Real Women Have Curves,Real Women Have Curves,0,2002,\N,90,"Comedy,Drama",real women have curves,2002-10-18,Real Women Have Curves,3000000.0,5853194.0,7777790.0,Newmarket Films,PG-13,Comedy,1,6.9,8029.0,The request failed: Google returned a response with code 500,
1271,2341,tt0376108,movie,Rebound,Rebound,0,2005,\N,86,"Comedy,Family,Sport",rebound,2005-07-01,Rebound,45000000.0,16809014.0,17492014.0,20th Century Fox,PG,Comedy,1,5.1,13479.0,,56.59615384615385
1272,1513,tt0265632,movie,Recess: School's Out,Recess: School's Out,0,2001,\N,82,"Adventure,Animation,Comedy",recess schools out,2001-02-16,Recess: School's Out,10000000.0,36696761.0,44451470.0,Walt Disney,G,Adventure,1,6.5,11430.0,"HTTPSConnectionPool(host='trends.google.com', port=443): Read timed out. (read timeout=5)",
1273,5889,tt0972883,movie,Red,Red,0,2008,\N,93,"Drama,Thriller",red,2010-10-15,Red,60000000.0,90380162.0,196439693.0,Summit Entertainment,PG-13,Action,1,6.9,12484.0,,42.76923076923077
1274,2758,tt0425637,movie,Red Cliff,Chi bi,0,2008,\N,145,"Action,Adventure,Drama",red cliff,2009-11-20,Red Cliff,40000000.0,627047.0,119627047.0,Magnolia Pictures,R,Action,1,7.3,47886.0,,27.173076923076923
1275,5508,tt0873886,movie,Red State,Red State,0,2011,\N,88,"Action,Crime,Horror",red state,2011-09-23,Red State,4000000.0,1065429.0,1983596.0,Smodshow Productions,R,Horror,1,6.1,66373.0,"HTTPSConnectionPool(host='trends.google.com', port=443): Read timed out. (read timeout=2)",
