,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index
385,2396,tt0381971,movie,Curious George,Curious George,0,2006,\N,87,"Adventure,Animation,Comedy",curious george,2006-02-10,Curious George,50000000.0,58640119.0,71052604.0,Universal,G,Adventure,1,6.5,17711.0,
386,1471,tt0257516,movie,Cursed,Cursed,0,2005,\N,97,"Comedy,Horror",cursed,2005-02-25,Cursed,35000000.0,19294901.0,25114901.0,Miramax/Dimension,PG-13,Horror,1,5.0,34587.0,
387,10701,tt1336617,movie,Cyrus,Cyrus,0,2010,\N,91,"Comedy,Drama,Romance",cyrus,2010-06-18,Cyrus,7000000.0,7468936.0,10062896.0,Fox Searchlight,R,Comedy,1,6.3,36424.0,
388,2259,tt0367631,movie,D.E.B.S.,D.E.B.S.,0,2004,\N,91,"Action,Comedy,Romance",debs,2005-03-25,D.E.B.S.,3500000.0,96793.0,96793.0,Samuel Goldwyn Films,PG-13,Action,1,5.4,17380.0,
389,2547,tt0398913,movie,DOA: Dead or Alive,DOA: Dead or Alive,0,2006,\N,87,"Action,Adventure,Mystery",doa dead or alive,2007-06-15,DOA: Dead or Alive,30000000.0,480314.0,7755686.0,Weinstein/Dimension,PG-13,Action,1,4.8,45965.0,
390,3022,tt0462244,movie,Daddy Day Camp,Daddy Day Camp,0,2007,\N,89,"Comedy,Family",daddy day camp,2007-08-08,Daddy Day Camp,6000000.0,13235267.0,18209872.0,Sony Pictures,PG,Comedy,1,3.2,17742.0,
391,1906,tt0317303,movie,Daddy Day Care,Daddy Day Care,0,2003,\N,92,"Comedy,Family",daddy day care,2003-05-09,Daddy Day Care,60000000.0,104148781.0,164285587.0,Sony Pictures,PG,Comedy,1,5.6,72568.0,
392,24005,tt3702088,movie,Daisy Winters,Daisy Winters,0,2017,\N,90,Drama,daisy winters,2017-12-01,Daisy Winters,4500000.0,0.0,0.0,Hannover House,PG-13,Drama,1,6.5,351.0,
393,5094,tt0790636,movie,Dallas Buyers Club,Dallas Buyers Club,0,2013,\N,117,"Biography,Drama",dallas buyers club,2013-11-01,Dallas Buyers Club,5000000.0,27298285.0,60611845.0,Focus Features,R,Drama,1,7.9,509963.0,12.865384615384615
394,8188,tt1153706,movie,Dance Flick,Dance Flick,0,2009,\N,83,"Action,Comedy,Music",dance flick,2009-05-22,Dance Flick,25000000.0,25794018.0,32224624.0,Paramount Pictures,PG-13,Comedy,1,3.6,12635.0,7.038461538461538
395,15223,tt1772288,movie,Danny Collins,Danny Collins,0,2015,\N,106,"Biography,Comedy,Drama",danny collins,2015-03-20,Danny Collins,10000000.0,5637066.0,7501132.0,Bleecker Street,R,Comedy,1,7.0,32808.0,8.76923076923077
396,23160,tt3322312,tvSeries,Daredevil,Daredevil,0,2015,2018,54,"Action,Crime,Drama",daredevil,2003-02-14,Daredevil,80000000.0,102543518.0,182782518.0,20th Century Fox,PG-13,Action,1,8.6,463950.0,
397,1603,tt0279331,movie,Dark Blue,Dark Blue,0,2002,\N,118,"Crime,Drama,Thriller",dark blue,2003-02-21,Dark Blue,15000000.0,9237470.0,12262065.0,MGM,R,Drama,1,6.6,23564.0,
398,1563,tt0273517,movie,Darkness,Darkness,0,2002,\N,88,Horror,darkness,2004-12-25,Darkness,10600000.0,22163442.0,34409206.0,Miramax/Dimension,PG-13,Horror,1,5.4,20194.0,58.21568627450981
399,1631,tt0282209,movie,Darkness Falls,Darkness Falls,0,2003,\N,86,"Fantasy,Horror,Mystery",darkness falls,2003-01-24,Darkness Falls,7000000.0,32539681.0,47289758.0,Sony Pictures,PG-13,Horror,1,5.0,33066.0,
