,imdb_id,title,plot,type,rated,year,released_at,added_at,runtime,genre,director,writer,actors,language,country,awards,metascore,imdb_rating,imdb_votes,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,matched_profit_indicator,Network,Critic Score,Audience Score,tv_link,nob_audience,Rating,Review_audience,nob_critics,Sentiment,Review_critics,matched_audience_indicator,matched_critics_indicator,matched_all_review_indicator
892,tt1388589,The Super Hero Squad Show,"Marvel's greatest heroes and evilest of villains battle it out in action packed, yet somewhat satirical alternate universe-style adventures.",series,TV-Y7,2009–2011,14 Sep 2009,"January 1, 2020",,"Animation, Action, Comedy, Family, Sci-Fi",,,"Tom Kenny, David Boat, Steve Blum, Travis Willingham",English,USA,,,6.1,"1,410",,,,,,0,,,,,,,,,,,,,
893,tt5653444,The Swap,"Ellie O'Brien is trying to juggle rhythmic gymnastics and troubles with her best friend. Meanwhile, classmate Jack Malloy is struggling to live up to his brothers' hockey-star legacies and dad's high expectations and tough-love approach.",movie,TV-G,2016,07 Oct 2016,"November 12, 2019",100 min,"Comedy, Family, Fantasy",Jay Karas,"Charlie Shahnaian, Shari Simpson","Peyton List, Jacob Bertrand, Claire Rankin, Darrin Rose",English,USA,3 nominations.,,6.1,"1,522",,,,,,0,,,,,,,,,,,,,
894,tt0057546,The Sword in the Stone,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.",movie,G,1963,21 Jun 1964,"October 1, 2019",79 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Wolfgang Reitherman, Clyde Geronimi, David Hand","Bill Peet (story), T.H. White (based on the book by)","Sebastian Cabot, Karl Swenson, Rickie Sorensen, Junius Matthews",English,USA,Nominated for 1 Oscar. Another 1 win.,61.0,7.2,"85,169",,,,,,0,,,,,,,,,,,,,
895,tt0200208,The Thirteenth Year,A teen learns that his birth mother is a mermaid after he begins to grow fins and slimy scales on his thirteenth birthday.,movie,TV-G,1999,15 May 1999,"November 12, 2019",95 min,"Comedy, Family, Fantasy",Duwayne Dunham,"Jenny Arata (story), Robert L. Baird (teleplay), Kelly Senecal (teleplay), Jenny Arata (teleplay)","Chez Starbuck, Justin Jon Ross, Courtnee Draper, Brent Briscoe",English,USA,1 nomination.,,6.0,"4,525",,,,,,0,,,,,,,,,,,,,
896,tt0038166,The Three Caballeros,"Donald receives his birthday gifts, which include traditional gifts and information about Brazil (hosted by Zé Carioca) and Mexico (by Panchito, a Mexican Charro Rooster).",movie,Approved,1944,22 Feb 1945,"November 12, 2019",71 min,"Animation, Comedy, Family, Fantasy, Musical","Norman Ferguson, Clyde Geronimi, Jack Kinney, Bill Roberts, Harold Young","Homer Brightman (story), Ernest Terrazas (story), Ted Sears (story), Bill Peet (story), Ralph Wright (story), Elmer Plummer (story), Roy Williams (story), William Cottrell (story), Del Connell (story), James Bodrero (story)","Aurora Miranda, Carmen Molina, Dora Luz, Sterling Holloway","English, Spanish, Portuguese",USA,Nominated for 2 Oscars. Another 1 nomination.,85.0,6.5,"11,541",,,,,,0,,,,,,,,,,,,,
897,tt0108333,The Three Musketeers,"France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal has disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their quest to save the king and country.",movie,PG,1993,12 Nov 1993,"November 12, 2019",105 min,"Action, Adventure, Comedy, Family, Romance",Stephen Herek,"Alexandre Dumas (novel), David Loughery (screenplay)","Charlie Sheen, Kiefer Sutherland, Chris O'Donnell, Oliver Platt",English,"Austria, UK, USA",2 wins & 3 nominations.,43.0,6.4,"48,683",,,,,,0,,,,,,,,,,,,,
898,tt0220099,The Tigger Movie,Tigger goes looking through the hundred-acre-wood to find his family.,movie,G,2000,11 Feb 2000,"November 12, 2019",77 min,"Animation, Comedy, Drama, Family, Musical",Jun Falkenstein,"Eddie Guzelian (story), Jun Falkenstein (screenplay), A.A. Milne (characters)","Jim Cummings, Nikita Hopkins, Ken Sansom, John Fiedler",English,"USA, Japan",4 nominations.,53.0,6.3,"16,402",20000000.0,45542421.0,96147688.0,Walt Disney,G,1,,,,,,,,,,,,,
899,tt0027126,The Tortoise and the Hare,"A Walt Disney Silly Symphony telling of the classic fable about a foot race between speedy Max Hare, aka The Blue Streak, and and Slow But Sure Toby Tortoise.",movie,Approved,1935,05 Jan 1935,"November 12, 2019",9 min,"Animation, Short, Comedy, Family",Wilfred Jackson,,"Pinto Colvig, Eddie Holden, Ned Norton",English,USA,,,7.2,"2,028",,,,,,0,,,,,,,,,,,,,
900,tt0061135,The Ugly Dachshund,The Garrisons live with a Great Dane who thinks he's a dainty dachshund. His identity crisis results in an uproarious series of household crises that reduce the Garrisons' house to shambles.,movie,Not Rated,1966,16 Feb 1966,"November 12, 2019",93 min,"Comedy, Family",Norman Tokar,"Albert Aley (screenplay), G.B. Stern (book)","Dean Jones, Suzanne Pleshette, Charles Ruggles, Kelly Thordsen","English, Japanese",USA,,,6.7,"3,244",,,,,,0,,,,,,,,,,,,,
901,tt0032071,Ugly Duckling,A newborn cygnet searches for a family that will accept him.,movie,Approved,1939,07 Apr 1939,"November 12, 2019",9 min,"Animation, Short, Comedy, Family","Jack Cutting, Clyde Geronimi",,,,USA,,,7.6,"2,421",,,,,,0,,,,,,,,,,,,,
902,tt0256466,The Ultimate Christmas Present,"A girl steals a weather machine from Santa Claus, to make a snow day. The machine breaks, and causes an out-of-control snowstorm.",movie,TV-G,2000,01 Dec 2000,"November 12, 2019",85 min,"Comedy, Family",Greg Beeman,"Hallie Einhorn (story), Michael Hitchcock (story), Michael Hitchcock (teleplay)","Hallee Hirsh, Spencer Breslin, Hallie Todd, Brenda Song",English,"Canada, USA",2 wins & 3 nominations.,,5.9,"1,478",,,,,,0,,,,,,,,,,,,,
903,tt0047642,The Vanishing Prairie,Story of the American Prairie as it was when vast herds of bison and elk grazed.,movie,Approved,1954,11 Jul 1955,"November 12, 2019",71 min,"Documentary, Family",James Algar,"James Algar (screenplay), Winston Hibler (screenplay), Ted Sears (screenplay)",Winston Hibler,English,USA,Won 1 Oscar. Another 3 wins.,,7.7,341,,,,,,0,,,,,,,,,,,,,
904,tt0405469,The Wild,"An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back.",movie,G,2006,14 Apr 2006,"November 12, 2019",82 min,"Animation, Adventure, Comedy, Family",Steve 'Spaz' Williams,"Ed Decter (screenplay), John J. Strauss (screenplay), Mark Gibson (screenplay), Philip Halprin (screenplay), Mark Gibson (story), Philip Halprin (story), Bill Wolkoff (additional story material), David Collard (additional story material), Matt Lopez (additional story material), Lloyd Taylor (additional story material), Steve 'Spaz' Williams (additional story material), Ed Driscoll (punch-up writer)","Kiefer Sutherland, Jim Belushi, Eddie Izzard, Janeane Garofalo",English,"Canada, USA",2 nominations.,47.0,5.3,"23,206",80000000.0,37384046.0,99010667.0,Walt Disney,G,1,,,,,,,,,,,,,
905,tt0025997,The Wise Little Hen,Donald and his friend Peter Pig try to avoid work by faking stomach aches until Mrs. Hen teaches them the value of labor.,movie,,1934,07 Jun 1934,"November 12, 2019",8 min,"Animation, Short, Comedy, Family, Musical",Wilfred Jackson,,"Florence Gill, Clarence Nash",English,USA,,,7.1,"1,567",,,,,,0,,,,,,,,,,,,,
906,tt2448374,The Wizards Return: Alex vs. Alex,"While visiting Tuscany, Italy, a young wizard accidentally creates an evil version of herself.",movie,TV-G,2013,15 Mar 2013,"November 12, 2019",60 min,"Adventure, Comedy, Drama, Family, Fantasy",Victor Gonzalez,"Todd J. Greenwald (based on the series created by), Ben Montanio, Vince Cheung, Dan Berendsen","Selena Gomez, Jake T. Austin, Jennifer Stone, Gregg Sulkin","English, Italian",USA,2 nominations.,,6.5,"4,934",,,,,,0,,,,,,,,,,,,,
907,tt6897772,The Little Mermaid Live!,A live broadcast of the beloved animated Disney tale with live performances of the songs.,movie,TV-PG,2019,05 Nov 2019,"November 27, 2019",83 min,Musical,"Hamish Hamilton, Ron Clements, John Musker","John Musker (animated film written by), Ron Clements (animated film written by), Brian Strickland (additional material written by)","Auli'i Cravalho, Shaggy, Graham Phillips, Amber Riley",English,USA,,,5.5,645,,,,,,0,,,,,,,,,,,,,
908,tt10196390,The World According to Jeff Goldblum,"Documentary series in which Goldblum pulls back the curtain on a seemingly familiar object to reveal a world of astonishing connections, fascinating science, and a whole lot of big ideas.",series,TV-PG,2019–,12 Nov 2019,"November 12, 2019",,"Documentary, Comedy",,,Jeff Goldblum,,,,,7.9,"1,121",,,,,,0,Disney+,82%,81%,https://www.rottentomatoes.com/tv/the_world_according_to_jeff_goldblum,3.0,"[3.0, 5.0, 4.0]","[""Season 2 didn't hit quite the same as season one. Jeff Goldblum is the only thing that keeps me watching. I just wish he'd go a bit deeper into the topics."", 'This is one of my favorite documentaries series on Disney+ Something about just seeing Jeff Goldbloom discover things is so fun', 'He has such an intesting way of looking at the world whatever producer came up with this idea deserves a raise i just hope there is a season 3 if there is anything else to do? Lol.']",2.0,[1],"[""It is, essentially, a show about everything that occasionally does nothing. But it kinda works. Why? Because it's Jeff Goldblum, that's why."", ""While the titular host of the show might not be everyone's cup of tea at first glance, the excitement and wholesomeness of Goldblum can melt many a curmudgeon's heart.""]",1.0,1.0,1.0
909,tt0318850,The Young Black Stallion,A young girl befriends a wild black stallion.,movie,G,2003,25 Dec 2003,"November 12, 2019",50 min,"Adventure, Family, Drama",Simon Wincer,"Walter Farley (novel), Steven Farley (novel), Jeanne Rosenberg (screen story), Jeanne Rosenberg (screenplay)","Richard Romanus, Biana Tamimi, Patrick Elyas, Gérard Rudolf",English,USA,1 nomination.,51.0,5.6,"1,008",,,,,,0,,,,,,,,,,,,,
910,tt0059796,Those Calloways,"Story of Cam Calloway and his family, who live in a densely wooded area in New England. Cam dreams of building a sanctuary for the geese that fly over the area each year, and he tries ...",movie,Approved,1965,01 Mar 1965,"October 1, 2019",131 min,"Drama, Family",Norman Tokar,"Louis Pelletier (screenplay), Paul Annixter (book)","Brian Keith, Vera Miles, Brandon De Wilde, Walter Brennan",English,USA,,,6.8,423,,,,,,0,,,,,,,,,,,,,
911,,,,,,,,"November 12, 2019",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
912,tt0301935,Three Days,"Ten years ago, Andrew married his childhood sweetheart, Beth. Now Andrew's a high-powered literary agent, but his relationship with his wife has not fared as well. When Beth is tragically ...",movie,TV-G,2001,09 Dec 2001,"November 12, 2019",100 min,"Drama, Family, Fantasy",Michael Switzer,"Robert Tate Miller, Eric Tuchman","Kristin Davis, Reed Diamond, Danielle Brett, Tim Meadows",English,USA,,,7.2,867,,,,,,0,,,,,,,,,,,,,
913,tt0024660,Three Little Pigs,"When a hungry wolf starts blowing down some pigs' houses, they take refuge in their sensible brother's brick house.",movie,Passed,1933,27 May 1933,"November 12, 2019",9 min,"Animation, Short, Comedy, Family, Musical",Burt Gillett,,"Billy Bletcher, Pinto Colvig, Dorothy Compton, Mary Moder",English,USA,Won 1 Oscar. Another 1 win.,,7.5,"4,805",,,,,,0,,,,,,,,,,,,,
914,,,,,,,,"November 12, 2019",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
915,tt0094137,Three Men and a Baby,Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.,movie,PG,1987,25 Nov 1987,"November 12, 2019",102 min,"Comedy, Drama, Family",Leonard Nimoy,"Coline Serreau (screenplay ""Trois Hommes et un Couffin""), James Orr (screenplay), Jim Cruickshank (screenplay)","Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis",English,USA,2 wins & 1 nomination.,61.0,6.0,"45,155",,,,,,0,,,,,,,,,,,,,
