,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,profit,log_profit,log_production_budget,same_period_indicator,same_period_profit,same_period_rating,same_period_budget,same_period_movie_id,high_rating_dummy
15,1844,tt0307901,movie,25th Hour,25th Hour,0,2002,\N,135,Drama,th hour,2002-12-19,25th Hour,4500000.0,13084595.0,25344490.0,Walt Disney,R,Drama,1,7.6,183191.0,20844490.0,19.013148054189816,15.319588176962746,1,19.12327152416864,6.933333333333334,17.25528241729398,"tt0168786,tt0217505,tt16911614",1
16,3042,tt0463854,movie,28 Weeks Later,28 Weeks Later,0,2007,\N,100,"Horror,Sci-Fi", weeks later,2007-05-11,28 Weeks Later,15000000.0,28638916.0,64232714.0,20th Century Fox,R,Horror,1,6.9,288400.0,49232714.0,19.158957659381894,16.52356082573315,1,18.873445773059917,5.3999999999999995,15.642390479633752,"tt0283503,tt0791304,tt0436742",0
17,10373,tt1314190,movie,3 Backyards,3 Backyards,0,2010,\N,88,Drama, backyards,2011-03-11,3 Backyards,300000.0,39475.0,39475.0,Screen Media Films,R,Drama,1,5.0,752.0,-260525.0,18.889054771117596,12.611541086966117,1,18.689993515022017,5.766666666666667,17.73018965470405,"tt2359006,tt1416801,tt1305591",0
18,2478,tt0389722,movie,30 Days of Night,30 Days of Night,0,2007,\N,113,"Action,Horror,Thriller", days of night,2007-10-19,30 Days of Night,30000000.0,39568996.0,80276156.0,Sony Pictures,R,Horror,1,6.6,185954.0,50276156.0,19.163932258116027,17.21670797295976,1,18.885753050717117,7.625000000000001,15.820414060347108,"tt2385753,tt0049833,tt0469623,tt0477139",0
19,14154,tt1622547,movie,30 Minutes or Less,30 Minutes or Less,0,2011,\N,83,"Action,Comedy,Crime", minutes or less,2011-08-12,30 Minutes or Less,28000000.0,37053924.0,40966716.0,Sony Pictures,R,Comedy,1,6.1,105616.0,12966716.0,18.96860974667001,17.147715103853763,1,19.55019003934568,7.0,17.269388229955343,"tt1622979,tt1454029",0
20,1320,tt0233142,movie,3000 Miles to Graceland,3000 Miles to Graceland,0,2001,\N,125,"Action,Comedy,Crime", miles to graceland,2001-02-23,3000 Miles to Graceland,62000000.0,15738632.0,18708848.0,Warner Bros.,R,Drama,1,6.0,48176.0,-43291152.0,18.575192921288668,17.9426449591384,1,18.31986010743067,4.8,18.132998684833918,tt0166276,0
21,9533,tt1253863,movie,300: Rise of an Empire,300: Rise of an Empire,0,2014,\N,102,"Action,Drama,War", rise of an empire,2014-03-07,300: Rise of an Empire,110000000.0,106580051.0,330780051.0,Warner Bros.,R,Action,1,6.2,311915.0,220780051.0,19.757732475055587,18.5159909328476,1,19.27879577113225,7.033333333333334,17.081182423691004,"tt0864835,tt1839642,tt2278388",0
22,10690,tt1335975,movie,47 Ronin,47 Ronin,0,2013,\N,128,"Action,Drama,Fantasy", ronin,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,Universal,PG-13,Action,1,6.2,168423.0,-23283185.0,18.733422308027638,18.980296537602072,1,19.24234813183014,7.425,17.883171838691176,"tt1661382,tt1091191,tt0359950,tt0214382",0
23,12738,tt1486193,movie,5 Days of War,5 Days of War,0,2011,\N,113,"Action,Drama,War", days of war,2011-08-19,5 Days of War,12000000.0,17479.0,87793.0,Anchor Bay Entertai…,R,Drama,1,5.6,14217.0,-11912207.0,18.813315858555917,16.300417291085605,1,18.96719006225665,6.533333333333334,15.049278312297941,"tt1562847,tt1562568,tt1563738",0
24,15252,tt1777595,movie,50 to 1,50 to 1,0,2014,\N,110,Drama, to ,2014-03-21,50 to 1,10000000.0,1069454.0,1069454.0,Ten Furlongs,PG-13,Drama,1,6.3,2195.0,-8930546.0,18.833250255914276,16.118095750958318,1,19.14780596072693,6.5,17.718204240681718,"tt1747958,tt1840309,tt2281587",0
25,1766,tt0298203,movie,8 Mile,8 Mile,0,2002,\N,110,"Drama,Music", mile,2002-11-08,8 Mile,41000000.0,116724075.0,245768384.0,Universal,R,Drama,1,7.2,311950.0,204768384.0,19.714773148483477,17.529082649058825,0,0.0,0.0,0.0,,1
