,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message,profit,log_profit,log_production_budget,same_period_indicator,same_period_profit,same_period_rating,same_period_budget,same_period_movie_id,avg_search_index
377,300,39,1439.0,22909,tt3210686,movie,Son of God,Son of God,0,2014,\N,138,"Biography,Drama,History",son of god,2014-02-28,Son of God,22000000.0,59700064.0,70949793.0,20th Century Fox,PG-13,Drama,1,5.7,19471.0,5.461538461538462,,48949793.0,19.157604560975923,16.906553056777135,1,19.28811461956888,7.35,16.036836490326994,"tt2350496,tt2024469",12.375
378,301,40,1440.0,2200,tt0362165,movie,Son of the Mask,Son of the Mask,0,2005,\N,94,"Comedy,Family,Fantasy",son of the mask,2005-02-18,Son of the Mask,100000000.0,17018422.0,59918422.0,New Line,PG,Adventure,1,2.3,58599.0,7.6923076923076925,,-40081578.0,18.602322261238527,18.420680753952364,1,19.148422483432693,7.15,16.47088057160794,"tt1153528,tt0317132",15.384615384615385
379,302,41,1441.0,17950,tt2182972,movie,Song One,Song One,0,2014,\N,86,"Drama,Music,Romance",song one,2015-01-23,Song One,6000000.0,32251.0,437089.0,Cinedigm/Film Arcade,PG-13,Drama,1,5.8,10180.0,83.67307692307692,,-5562911.0,18.85529738691395,15.607270193858982,1,18.828529580536607,6.6000000000000005,16.44244545014237,"tt1068678,tt3612616,tt3045616",42.493589743589745
380,305,45,1445.0,9267,tt1232783,movie,Sorority Row,Sorority Row,0,2009,\N,101,"Horror,Mystery",sorority row,2009-09-11,Sorority Row,12500000.0,11965282.0,26735797.0,Summit Entertainment,R,Horror,1,5.1,32042.0,6.538461538461538,,14235797.0,18.97592010069651,16.341239282272525,1,19.076821153180216,,16.75994958976229,tt15275400,4.9423076923076925
381,306,46,1446.0,7581,tt1111948,movie,Soul Men,Soul Men,0,2008,\N,100,"Comedy,Drama,Music",soul men,2008-11-07,Soul Men,40000000.0,12082391.0,12345883.0,MGM,R,Comedy,1,6.4,11510.0,12.115384615384617,,-27654117.0,18.700929386796027,17.504390037078213,1,19.656731727614407,7.133333333333333,17.192417050965396,"tt0479952,tt1010048,tt14145300,tt0430922",9.25
382,307,47,1447.0,2253,tt0367085,movie,Soul Plane,Soul Plane,0,2004,\N,86,Comedy,soul plane,2004-05-28,Soul Plane,16000000.0,13922211.0,14553807.0,MGM,R,Comedy,1,4.5,24108.0,19.476190476190474,,-1446193.0,18.881604576320257,16.588099342704055,1,18.906472804678224,6.35,16.57624112689539,"tt0350028,tt0332375",16.92857142857143
383,308,48,1448.0,13970,tt1596346,movie,Soul Surfer,Soul Surfer,0,2011,\N,112,"Biography,Drama,Family",soul surfer,2011-04-08,Soul Surfer,18000000.0,43853424.0,47158652.0,Sony Pictures,PG,Drama,1,7.0,51988.0,5.019230769230769,,29158652.0,19.058096654758792,16.705882371415992,1,18.909665275956087,6.15,17.47212077817609,"tt1240982,tt0993842",38.355769230769226
384,310,50,1450.0,15341,tt1798684,movie,Southpaw,Southpaw,0,2015,\N,124,"Action,Drama,Sport",southpaw,2015-07-24,Southpaw,30000000.0,52421953.0,94207861.0,Weinstein Co.,R,Drama,1,7.3,252644.0,6.173076923076923,,64207861.0,19.228084134892054,17.21670797295976,1,19.24830079720622,5.65,17.061423829386907,"tt3622592,tt1524575,tt2120120,tt1524930",22.822115384615383
385,311,51,1451.0,3174,tt0482603,movie,Space Chimps,Space Chimps,0,2008,\N,81,"Adventure,Animation,Comedy",space chimps,2008-07-18,Space Chimps,37000000.0,30105968.0,67029956.0,20th Century Fox,G,Adventure,1,4.5,12280.0,5.269230769230769,,30029956.0,19.062692286117453,17.426428497635523,0,0.0,0.0,0.0,,0.0
386,312,52,1452.0,2298,tt0371246,movie,Spanglish,Spanglish,0,2004,\N,131,"Comedy,Drama,Romance",spanglish,2004-12-17,Spanglish,75000000.0,42044321.0,54344321.0,Sony Pictures,PG-13,Comedy,1,6.4,87672.0,9.4,,-20655679.0,18.752458564739868,18.132998684833918,1,19.171876053617364,7.228571428571429,17.064601162857212,"tt0377062,tt0427498,tt0290002,tt0405159,tt27731623,tt0395169,tt0373024",11.255798319327733
